0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
-+-+-+-+-
() : 1363
(5, 15, 6) : 4
(5, 15, 7) : 4
(5, 15, 8) : 1
(5, 15, 10) : 5
(5, 15, 14) : 3
(5, 15, 16) : 7
(5, 16) : 18
(5, 16, 0) : 47
(5, 16, 1) : 1
(5, 16, 3) : 4
(5, 16, 4) : 1
(5, 16, 6) : 15
(5, 16, 7) : 99
(5, 16, 8) : 1
(5, 16, 10) : 15
(5, 16, 11) : 1
(5, 16, 12) : 1
(5, 16, 13) : 1
(5, 16, 14) : 6
(5, 16, 15) : 9
(5, 16, 17) : 4
(5, 16, 18) : 1
(5, 17) : 1
(5, 17, 0) : 2
(5, 17, 3) : 1
(5, 17, 4) : 1
(5, 17, 6) : 3
(5, 17, 10) : 4
(5, 17, 11) : 1
(5, 17, 13) : 1
(5, 17, 14) : 3
(5, 17, 15) : 3
(5, 17, 16) : 7
(5, 18) : 2
(6,) : 29327
(6, 0) : 1878
(6, 0, 1) : 48
(6, 0, 3) : 138
(6, 0, 4) : 842
(6, 0, 5) : 40
(6, 0, 7) : 893
(6, 0, 8) : 25
(6, 0, 9) : 85
(6, 0, 10) : 95
(6, 0, 11) : 120
(6, 0, 12) : 28
(6, 0, 13) : 62
(6, 0, 14) : 12
(6, 0, 15) : 54
(6, 0, 16) : 471
(6, 0, 17) : 23
(6, 0, 18) : 9
(6, 1) : 205
(6, 1, 0) : 12
(6, 1, 3) : 10
(6, 1, 4) : 32
(6, 1, 5) : 10
(6, 1, 7) : 22
(6, 1, 8) : 36
(6, 1, 9) : 662
(6, 1, 10) : 16
(6, 1, 11) : 27
(6, 1, 12) : 36
(6, 1, 13) : 69
(6, 1, 14) : 3
(6, 1, 15) : 7
(6, 1, 16) : 2
(6, 1, 17) : 11
(6, 1, 18) : 8
(6, 3) : 145
(6, 3, 0) : 105
(6, 3, 1) : 2
(6, 3, 4) : 286
(6, 3, 5) : 12
(6, 3, 7) : 156
(6, 3, 8) : 16
(6, 3, 9) : 9
(6, 3, 10) : 33
(6, 3, 11) : 131
(6, 3, 12) : 31
(6, 3, 13) : 20
(6, 3, 14) : 5
(6, 3, 15) : 17
(6, 3, 16) : 147
(6, 3, 17) : 15
(6, 3, 18) : 3
(6, 4) : 2104
(6, 4, 0) : 1007
(6, 4, 1) : 112
(6, 4, 3) : 156
(6, 4, 5) : 28
(6, 4, 7) : 799
(6, 4, 8) : 27
(6, 4, 9) : 206
(6, 4, 10) : 87
(6, 4, 11) : 875
(6, 4, 12) : 65
(6, 4, 13) : 84
(6, 4, 14) : 8
(6, 4, 15) : 47
(6, 4, 16) : 160
(6, 4, 17) : 25
(6, 4, 18) : 21
(6, 5) : 64
(6, 5, 0) : 23
(6, 5, 1) : 4
(6, 5, 3) : 12
(6, 5, 4) : 16
(6, 5, 7) : 32
(6, 5, 8) : 9
(6, 5, 9) : 3
(6, 5, 10) : 61
(6, 5, 11) : 7
(6, 5, 12) : 10
(6, 5, 13) : 15
(6, 5, 14) : 16
(6, 5, 15) : 7
(6, 5, 16) : 41
(6, 5, 17) : 6
(6, 5, 18) : 2
(6, 7) : 3268
(6, 7, 0) : 1029
(6, 7, 1) : 20
(6, 7, 3) : 337
(6, 7, 4) : 734
(6, 7, 5) : 73
(6, 7, 8) : 30
(6, 7, 9) : 74
(6, 7, 10) : 165
(6, 7, 11) : 313
(6, 7, 12) : 42
(6, 7, 13) : 60
(6, 7, 14) : 21
(6, 7, 15) : 53
(6, 7, 16) : 2720
(6, 7, 17) : 45
(6, 7, 18) : 24
(6, 8) : 45
(6, 8, 0) : 7
(6, 8, 1) : 24
(6, 8, 3) : 12
(6, 8, 4) : 26
(6, 8, 5) : 10
(6, 8, 7) : 21
(6, 8, 9) : 13
(6, 8, 10) : 33
(6, 8, 11) : 10
(6, 8, 12) : 20
(6, 8, 13) : 47
(6, 8, 14) : 6
(6, 8, 15) : 18
(6, 8, 16) : 14
(6, 8, 17) : 4
(6, 8, 18) : 1
(6, 9) : 507
(6, 9, 0) : 30
(6, 9, 1) : 589
(6, 9, 3) : 17
(6, 9, 4) : 76
(6, 9, 5) : 11
(6, 9, 7) : 30
(6, 9, 8) : 28
(6, 9, 10) : 41
(6, 9, 11) : 20
(6, 9, 12) : 69
(6, 9, 13) : 124
(6, 9, 14) : 6
(6, 9, 15) : 26
(6, 9, 16) : 17
(6, 9, 17) : 16
(6, 9, 18) : 6
(6, 10) : 278
(6, 10, 0) : 45
(6, 10, 1) : 29
(6, 10, 3) : 49
(6, 10, 4) : 55
(6, 10, 5) : 74
(6, 10, 7) : 152
(6, 10, 8) : 45
(6, 10, 9) : 37
(6, 10, 11) : 40
(6, 10, 12) : 18
(6, 10, 13) : 83
(6, 10, 14) : 29
(6, 10, 15) : 60
(6, 10, 16) : 80
(6, 10, 17) : 12
(6, 10, 18) : 5
(6, 11) : 309
(6, 11, 0) : 93
(6, 11, 1) : 48
(6, 11, 3) : 89
(6, 11, 4) : 479
(6, 11, 5) : 20
(6, 11, 7) : 177
(6, 11, 8) : 11
(6, 11, 9) : 43
(6, 11, 10) : 42
(6, 11, 12) : 101
(6, 11, 13) : 41
(6, 11, 14) : 4
(6, 11, 15) : 14
(6, 11, 16) : 74
(6, 11, 17) : 17
(6, 11, 18) : 5
(6, 12) : 90
(6, 12, 0) : 17
(6, 12, 1) : 21
(6, 12, 3) : 25
(6, 12, 4) : 45
(6, 12, 5) : 7
(6, 12, 7) : 15
(6, 12, 8) : 20
(6, 12, 9) : 45
(6, 12, 10) : 19
(6, 12, 11) : 50
(6, 12, 13) : 20
(6, 12, 14) : 3
(6, 12, 15) : 16
(6, 12, 16) : 12
(6, 12, 17) : 10
(6, 12, 18) : 5
(6, 13) : 144
(6, 13, 0) : 28
(6, 13, 1) : 93
(6, 13, 3) : 14
(6, 13, 4) : 27
(6, 13, 5) : 12
(6, 13, 7) : 28
(6, 13, 8) : 78
(6, 13, 9) : 71
(6, 13, 10) : 69
(6, 13, 11) : 20
(6, 13, 12) : 27
(6, 13, 14) : 5
(6, 13, 15) : 10
(6, 13, 16) : 25
(6, 13, 17) : 6
(6, 13, 18) : 4
(6, 14) : 22
(6, 14, 0) : 7
(6, 14, 1) : 1
(6, 14, 3) : 5
(6, 14, 4) : 4
(6, 14, 5) : 9
(6, 14, 7) : 14
(6, 14, 8) : 2
(6, 14, 9) : 4
(6, 14, 10) : 10
(6, 14, 11) : 3
(6, 14, 12) : 10
(6, 14, 13) : 3
(6, 14, 15) : 10
(6, 14, 16) : 15
(6, 14, 17) : 7
(6, 14, 18) : 1
(6, 15) : 81
(6, 15, 0) : 22
(6, 15, 1) : 6
(6, 15, 3) : 11
(6, 15, 4) : 26
(6, 15, 5) : 10
(6, 15, 7) : 36
(6, 15, 8) : 12
(6, 15, 9) : 16
(6, 15, 10) : 45
(6, 15, 11) : 9
(6, 15, 12) : 6
(6, 15, 13) : 14
(6, 15, 14) : 14
(6, 15, 16) : 58
(6, 15, 17) : 5
(6, 15, 18) : 3
(6, 16) : 738
(6, 16, 0) : 511
(6, 16, 1) : 6
(6, 16, 3) : 243
(6, 16, 4) : 148
(6, 16, 5) : 47
(6, 16, 7) : 1387
(6, 16, 8) : 20
(6, 16, 9) : 16
(6, 16, 10) : 102
(6, 16, 11) : 125
(6, 16, 12) : 18
(6, 16, 13) : 26
(6, 16, 14) : 25
(6, 16, 15) : 42
(6, 16, 17) : 15
(6, 16, 18) : 7
(6, 17) : 19
(6, 17, 0) : 15
(6, 17, 1) : 5
(6, 17, 3) : 12
(6, 17, 4) : 22
(6, 17, 5) : 6
(6, 17, 7) : 22
(6, 17, 8) : 2
(6, 17, 9) : 8
(6, 17, 10) : 4
(6, 17, 11) : 11
(6, 17, 12) : 8
(6, 17, 13) : 11
(6, 17, 14) : 4
